Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,Rent,Residency transfer,,,By phone,,,By email,,,Yes,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Unsure,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Unsure,No ,,,,,,,Neither satisfied nor dissatisfied,Yes,,,By phone,,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly dissatisfied,Very satisfied,Very satisfied,Very dissatisfied,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,,,,,,Activities for children and young people,Employment opportunities,Training opportunities,Helping to share future programs for residents,Social activities,,Fairly satisfied,Fairly satisfied,1) HF should pay more attention to complaints about noise and substance misuse.  2) A HF employee should not ask an adult tenant for their children's phone numbers.  There needs to be a policy about the privacy of children that reside in HF homes.  3)  Is there even a tenants association for every building?  Our building's shared area was 'decorated' and it is useless.  No one consulted anyone that uses the space.  Why can't every building have a notice board at the entrance and a voluntary tenants association? It would save HF money as well as increasing the wellbeing of tenants. An annual survey can not do what actual face to face tenants organisation can do. I know HF does the best they can. Just let the tenants help. We all want the same thing. Safe housing and a safe thriving community.,Negative,Housing services
East,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Unsure,Fairly satisfied,Fairly satisfied,No,No ,,,,,,,Very satisfied,Yes,,,By phone,,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,No opinion,No opinion,No opinion,No opinion,No,,No opinion,Very satisfied,Very satisfied,Very satisfied,Very dissatisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,,Lack of interest,,,,,Social activities,,Neither satisfied nor dissatisfied,Fairly satisfied,My sliding door is very difficult to open. There are no security screens or doors so I cannot leave any window or door to the balcony open as there are undesirable people living in the building and dealing drugs out the front. Someone throws food and rubbish from their balcony in front of mine in the communal front garden and it attracts lots of rats. My gas heater has been removed and replaced with a split system. I am worried as my gas heating is included in my rent but now I worry about the added cost to me. I am most concerned that I do not have a balcony door which works properly and worry for my safety without the security door/screens,Negative,Repairs - condition of property
Inner West,Less than a year,English,Migrant (not born in Australia),30-39,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,Via email,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,Family care responsibilities,Times/day of meetings,Content of the meetings,No feedback received or lack of action,,,Activities for children and young people,Employment opportunities,Training opportunities,Helping to share future programs for residents,Social activities,,Very satisfied,Very satisfied,,,
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,Very satisfied,Fairly satisfied,Unsure,Fairly satisfied,Fairly satisfied,Unsure,No ,,,,,,,Fairly satisfied,Yes,,,By phone,,Fairly satisfied,Very satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,Times/day of meetings,,,,Lack of interest,,,,,,Other,Neither satisfied nor dissatisfied,Fairly satisfied,,,
North,Less than a year,English,Migrant (not born in Australia),80+,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,Transport cost,,,,,,,,,,,,Other,Very satisfied,Very satisfied,,,
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,,,Rent,,,Other,By phone,,,By email,,,No,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Unsure,Fairly satisfied,Fairly dissatisfied,Unsure,Yes,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,,Lack of interest,,Employment opportunities,Training opportunities,,,,Fairly dissatisfied,Fairly dissatisfied,Rent information not addressed management lack of interest. No feed back.,Negative,Housing services - rent
East,1 to 2 years,Other,Migrant (not born in Australia),40-49,Yes ,,Neighbourhood issues,Rent,,,,By phone,,,By email,,,Unsure,Neither satisfied nor dissatisfied,,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Very satisfied,Unsure,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,,,Major problem,,,,,Major problem,Minor problem,Major problem,Major problem,Not a problem at all,No,No,,,,,,,,Lack of interest,Activities for children and young people,,,,,,Very satisfied,Fairly satisfied,,,
Inner South,Less than a year,Arabic,Migrant (not born in Australia),30-39,Yes ,,,Rent,,,,By phone,In person,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,No feedback received or lack of action,,,,Employment opportunities,Training opportunities,,,,Very satisfied,Very satisfied,,,
Inner Northwest,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Unsure,Fairly satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,,Very satisfied,Very satisfied,,,
East,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Major problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,Family care responsibilities,Times/day of meetings,,,,,Activities for children and young people,,,Helping to share future programs for residents,,,Fairly satisfied,Very satisfied,,,
Inner Northwest,More than 10 years,English,Migrant (not born in Australia),30-39,Yes ,,,,,,Other,,In person,,,,,Yes,,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,No opinion,Yes,,,By phone,,,,,,,,Very satisfied,No,,Very satisfied,Very satisfied,Fairly satisfied,,,,,,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,Helping to share future programs for residents,,,Fairly satisfied,Very dissatisfied,,,
East,Less than a year,Chinese,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,,,,,,,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,,,,,,,,Very satisfied,Very satisfied,,,
East,1 to 2 years,Other,Refugee or asylum seeker,40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,,,Very satisfied,Yes,Very dissatisfied,Very dissatisfied,,No ,,,,,,,Very dissatisfied,Yes,,,By phone,,,,,,,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very dissatisfied,Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Not a problem at all,Major problem,Unsure,Yes,Location of the meetings,,,,Content of the meetings,,,,,,,,,Other,Very dissatisfied,Very dissatisfied,Noisy home sometimes bad annoying music that I get headache drugs smell at building the fact that this home is not government home it is product of st Kildare disgusted me I hate this home o prefer I live in a small apartment but new owned by human services not st kinda bye,Negative,Housing services
East,1 to 2 years,English,None of the above,60-69,Yes ,,,,,,Other,By phone,,,,,,Unsure,No opinion,No opinion,No opinion,Unsure,No opinion,No opinion,Unsure,Yes,No opinion,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,No,,,,,,,,,,,,,,No opinion,Fairly dissatisfied,Fairly dissatisfied,Very satisfied,Very satisfied,No opinion,No opinion,Fairly satisfied,Major problem,Major problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,Content of the meetings,,,,,,,,,Other,Fairly dissatisfied,Neither satisfied nor dissatisfied,People use my car park and manager says I need letter from HF saying it's my spot or I can take no action. I have asked repeatedly for this letter from HF. Housing officer changes too often. Nothing is done. I was overcharged on rent for a short while and never refunded but small amount so I let it go,Negative,Neighbourhood - area/amenities
Inner South,More than 10 years,English,None of the above,60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,No ,,,,,,,Neither satisfied nor dissatisfied,Yes,,,By phone,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,,,,Other,Very satisfied,Neither satisfied nor dissatisfied,,,
Inner South,More than 10 years,Other,Migrant (not born in Australia),50-59,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Unsure,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Fairly satisfied,Unsure,Yes,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Yes,,In person,By phone,,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,Fairly dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,No,,,,,,,,Lack of interest,,,Training opportunities,,,,Fairly satisfied,Neither satisfied nor dissatisfied,"I do love my home and I did appreciate all the things that was done for me before when Housing was small organisations and offices here near Park street, Port Philip association with a Government . Now is becoming bigger organisations and most of the time is just a promises and no one provides feedback or even comes to fix the problem which they promised . For my bathroom tiles I waiting more than one year , etc.  Sorry about that! Even now no one comes to put plaster after taking gas heater off! Very busy, not enough maintenance was answered! Thank you for reading, I hope that will help you for some improvement!",Negative,Repairs - time
Inner Northwest,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,No ,,,,,,,,,,,,,,,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,No,,,,,,,,,,,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,Social activities,,Very satisfied,Very satisfied,,,
East,1 to 2 years,Chinese,Migrant (not born in Australia),40-49,Yes ,,,Rent,,,,,,,By email,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Fairly satisfied,No,No ,,,,,,,Very satisfied,Yes,Via email,,By phone,,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly dissatisfied,Fairly satisfied,Minor problem,Major problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Minor problem,Not a problem at all,No,Unsure,,,,Times/day of meetings,,,Language barrier,,Activities for children and young people,,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
East,Less than a year,,Migrant (not born in Australia),30-39,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,Via email,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,No,No,Location of the meetings,Transport cost,Family care responsibilities,,,,Language barrier,,Activities for children and young people,Employment opportunities,Training opportunities,Helping to share future programs for residents,Social activities,,Fairly satisfied,Fairly satisfied,"I understand that in a military camp made of steel, there is always a stream of new recruits joining. But I still hope Housing first the mobility of staff is not too high. Thanks.",Neutral,Housing services - customer service
North,Less than a year,Arabic,Migrant (not born in Australia),30-39,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,,,By phone,,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Fairly dissatisfied,Major problem,Minor problem,Major problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Minor problem,Major problem,Minor problem,Not a problem at all,Unsure,Unsure,,,,,,,,Lack of interest,,,,,,Other,Neither satisfied nor dissatisfied,Fairly satisfied,Not always been informed about the progress of my complaint.,Neutral,HousingFirst - communication materials
South,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),30-39,Yes ,,,Rent,,,,By phone,,,,,,Yes,Very satisfied,Fairly satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,Yes,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Major problem,Minor problem,No,No,,,,,,No feedback received or lack of action,,,Activities for children and young people,,,,,,Very satisfied,Very satisfied,Urgent review of the car park and who’s allocated a car spot some apartments have more then one car space or car spot for a motorbike or car not being driven. Other residents have to park down the road of in counsel car space and receive fines. I have 2 year old and it’s very unsafe getting her in and out of the car,Negative,Neighbourhood - area/amenities
Inner South,6 to 10 years,English,None of the above,70-79,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,Yes,Very satisfied,,,,,Very dissatisfied,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,Times/day of meetings,,,,,,,,,,Other,Fairly dissatisfied,Fairly satisfied,I requested some action be taken in regard to the drunken behaviour at the property and nothing has been done Christmas in July next  month and so will have Christmas meal,Negative,Neighbour issues/disputes
East,1 to 2 years,Chinese,Migrant (not born in Australia),30-39,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,No,,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,Transport cost,Family care responsibilities,,,No feedback received or lack of action,,,,Employment opportunities,,,,,Fairly satisfied,Very satisfied,,,
North,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,,,,,By phone,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,Very satisfied,Very satisfied,No,,Very satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Major problem,Minor problem,Not a problem at all,,No,No,,Transport cost,,,,,,,,,,,Social activities,,No opinion,Very satisfied,,,
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Unsure,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,Major problem,Minor problem,Minor problem,,,Major problem,Major problem,,,,,Unsure,Unsure,,,,,,,,Lack of interest,,,,,,Other,,Very satisfied,"It would be nice to have our windows cleaned;  3rd floor,  pigeon poo!",Neutral,Repairs - condition of property
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,,,,Other,By phone,,,,,,No,Neither satisfied nor dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Unsure,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Yes,Very satisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,No opinion,Fairly dissatisfied,Fairly dissatisfied,Yes,,,By phone,,Very satisfied,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Fairly satisfied,Fairly dissatisfied,No,,Fairly dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly dissatisfied,Minor problem,Minor problem,Not a problem at all,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Major problem,Major problem,Not a problem at all,Minor problem,No,Unsure,Location of the meetings,Transport cost,Family care responsibilities,,,,,,Activities for children and young people,Employment opportunities,Training opportunities,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,"My main Issue is that we haven't had an inspection since pre covid(2019) & I have requested one as I have started to see roaches that they need to check the property of a man who is spotted going through bin etc. There has been times letters have been sent & none shows without explanation. Also the having to wait for repairs due to budget, would a private renter be made to wait, thanks!",Negative,Housing services - inspections
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,Rent,,,,By phone,,,,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Unsure,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Yes,,,By phone,,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,,Minor problem,Not a problem at all,Minor problem,Major problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Not a problem at all,Not a problem at all,No,No,,,,Times/day of meetings,,,,,,,,,,Other,Fairly dissatisfied,Neither satisfied nor dissatisfied,Dumping of hard rubbish in garage is excessive and happens routinely,Negative,Neighbourhood - bins/recycling
Inner South,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,,,,,,Other,By phone,,,,,,Yes,Very satisfied,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,Via email,,By phone,,Fairly dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,Minor problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Yes,Yes,,,,,,,,Lack of interest,,,,,,Other,Very satisfied,Very satisfied,,,
